question,answer,intent
What to do for a heart attack?,Call 999 immediately. Sit the person down comfortably. Give 300mg aspirin to chew slowly if available and they are not allergic. Keep them calm until help arrives.,heart_attack
Someone is having a heart attack,Call 999 right away. Help them sit in a comfortable position knees bent. Give aspirin 300mg if available and not contraindicated. Monitor breathing.,heart_attack
Heart attack symptoms,Central chest pain tightness or squeezing. Pain in arm jaw or back. Breathlessness sweating dizziness. These are serious symptoms always call 999.,heart_attack
Chest pain first aid,Call 999 immediately for severe chest pain. Help the person sit or lie comfortably. Loosen tight clothing. Give aspirin 300mg if advised. Do not leave them alone.,heart_attack
How to recognize a heart attack?,Look for central chest pain that feels like pressure. Pain spreading to one or both arms. Shortness of breath and sweating. Act fast and call 999.,heart_attack
What are stroke symptoms?,Use FAST: Face drooping on one side. Arms: cannot raise both. Speech slurred or confused. Time to call 999 immediately. Early treatment is critical.,stroke
How to help someone having a stroke?,Call 999 right away. Remember FAST: Face drooping Arms weakness Speech problems Time to call 999. Keep the person calm and comfortable until help arrives.,stroke
FAST stroke test,F: Face - has it drooped? A: Arms - can they raise both? S: Speech - is it slurred? T: Time to call 999. Use this test to identify a stroke quickly.,stroke
What does a stroke look like?,Signs include sudden face drooping unable to smile or one side drooped. Arm weakness or numbness. Confused or slurred speech. Sudden severe headache. Call 999 fast.,stroke
Stroke first aid,Call 999 immediately. Do not give food or water. Note the time symptoms started. Keep them comfortable and calm. Do not leave them alone. Early treatment saves brain cells.,stroke
Someone cannot speak suddenly,This could be a stroke. Check FAST: Face drooping Arms weakness Speech issues. Call 999 immediately. Time is critical for stroke treatment.,stroke
Recovery position how to,Kneel beside the unconscious person. Place their nearest arm at right angle. Bring the other arm across chest. Lift knee of furthest leg. Roll them toward you gently onto their side.,recovery_position
How to put someone in recovery position?,Tilt their head back to open airway. Bend the top knee to stop them rolling. Place upper hand under cheek. This keeps airway open and prevents choking on vomit.,recovery_position
Unconscious but breathing what to do?,Place them in the recovery position immediately. Call 999. Monitor their breathing constantly. Do not leave them alone. Be ready to start CPR if breathing stops.,recovery_position
Person unconscious and breathing,Call 999. Put them in the recovery position on their side. Tilt head back to keep airway open. Keep checking breathing every minute until help arrives.,recovery_position
What is the recovery position?,It is placing an unconscious breathing person on their side. This keeps the airway open and prevents them choking if they vomit. Always call 999 too.,recovery_position
How to treat a fracture?,Keep the injured limb as still as possible. Do not try to straighten it. Support it in the position found. Call 999 for serious fractures or suspected spinal injury.,fractures
Broken bone first aid,Immobilize the injured area. Do not attempt to push bone back. Use padding and support. Call 999 if severe or spine involved. Do not give food or drink as surgery may be needed.,fractures
Suspected broken arm,Support the arm in a comfortable position. Apply a sling if available. Do not try to move it. Take the person to A&E or call 999 if severe.,fractures
What to do for a sprain?,Rest the injured area. Apply ice wrapped in cloth for 20 minutes. Compress with a bandage. Elevate the limb. Use the RICE method: Rest Ice Compress Elevate.,fractures
Broken leg what to do?,Do not move the person unless in danger. Call 999. Support the leg in the position found with padding. Keep them still and warm. Monitor until help arrives.,fractures
What to do for anaphylaxis?,Call 999 immediately. If the person has an adrenaline auto-injector help them use it or use it yourself if trained. Lay them down and raise legs. Monitor breathing.,anaphylaxis
Severe allergic reaction first aid,Call 999 right away. Help them use their EpiPen if they have one. If conscious lay them down with legs raised. If struggling to breathe help them sit up. Stay with them.,anaphylaxis
EpiPen how to use,Remove the blue safety cap. Hold the pen firmly in your fist. Press the orange tip firmly against outer thigh even through clothing. Hold for 3 seconds. Call 999.,anaphylaxis
Allergic reaction to bee sting,Call 999 if any signs of anaphylaxis: breathing difficulty throat swelling rash collapse. Help them use their EpiPen. Keep them calm and still. Lay them down.,anaphylaxis
Throat swelling allergic reaction,This is a medical emergency. Call 999 immediately. Help them use their adrenaline injector if available. Keep them as calm as possible. Be ready to start CPR.,anaphylaxis
How to treat shock?,Call 999 immediately. Lay the person down and raise their legs if injuries allow. Keep them warm with a blanket. Do not give food or drink. Reassure them. Monitor breathing.,shock
Signs of shock first aid,Watch for pale cold clammy skin rapid shallow breathing weakness and dizziness. Call 999. Lay person down raise legs keep warm. Do not give food or drink.,shock
What is shock and how to treat it?,Medical shock is when the body cannot get enough blood to vital organs. Signs include pale skin sweating and rapid breathing. Call 999. Lay down raise legs keep warm.,shock
Someone is in shock,Call 999 now. Lay them flat and raise their legs about 30cm. Cover with a coat or blanket. Keep talking to them calmly. Do not give anything to eat or drink.,shock
Electric shock first aid,Turn off the power source first. Do not touch the person until power is off. Once safe check for breathing. Call 999. Start CPR if not breathing.,electric_shock
What to do if someone gets electrocuted?,Do not touch them while connected to power. Switch off electricity at the mains first. Call 999. Check breathing and start CPR if needed. All electric shock victims need medical check.,electric_shock
Drowning first aid,Get them out of water safely without risking yourself. Call 999. Give 5 rescue breaths if not breathing. Start CPR. Place in recovery position if breathing but unconscious.,drowning
Near drowning what to do?,Call 999. Start rescue breaths then CPR if not breathing. Continue CPR until help arrives. Even if they seem to recover all near-drowning victims need hospital checks.,drowning
What to do for poisoning?,Call 999 immediately. Do not make them vomit. Find out what was swallowed to tell paramedics. Do not give food or water. Monitor and be ready to start CPR.,poisoning
Someone swallowed poison,Call 999 right away. Keep the person calm and still. Try to find what they swallowed and tell the paramedics. Do not induce vomiting. Monitor consciousness.,poisoning
Drug overdose first aid,Call 999 immediately. Stay with the person. Place in recovery position if unconscious but breathing. Be ready to start CPR. Tell paramedics what was taken if known.,poisoning
What is first aid?,First aid is emergency care given immediately after an injury or illness before professional medical help arrives. It can save lives prevent conditions worsening and aid recovery.,general
How to call emergency services?,In the UK call 999. Give your phone number the address and a brief description of what is wrong. Say if the person is bleeding unconscious or not breathing.,general
What should be in a first aid kit?,A first aid kit should contain plasters bandages sterile gauze gloves scissors tweezers thermometer antiseptic cream pain relief and an emergency contacts list.,general
When to call 999?,Call 999 for life-threatening emergencies: unconscious not breathing heart attack stroke severe bleeding choking severe burns anaphylaxis electric shock or poisoning.,general
What is a needlestick injury?,A needlestick injury is when a used needle pierces your skin. Squeeze to bleed. Wash with soap and running water. Cover and get urgent medical advice from 111 or A&E.,needlestick
Pricked by a needle what to do?,Gently squeeze to encourage bleeding. Wash thoroughly with soap and water. Do not suck the wound. Cover with a waterproof plaster. Get urgent advice from NHS 111 or A&E.,needlestick
